Emotion,Text
disgust,When I was weeding the garden I found a lizard in my hand.     
shame,When I met a friend whom I had not seen for a long time and  heard all about her troubles     
guilt,I got angry at my mother for something trivial.  We were in a  bad mood because my father was very ill and I knew that my mother  really needed support.  I had reacted wrongly.     
joy,New year's eve 1983/1984     
fear,When I was stopped by plain clothes policemen because the car I  was driving had overturned on the Avenue.  I had been driving too  fast     
anger,The editor changed the heading of an article that I had written.   He considered the heading to be derogatory towards the person I had written  about.     
sadness,A close acquaintance of the family died of lung cancer.   Although it was expected     
disgust,When I saw a picture     
shame,One night I had a sexual intercourse with another man.  My sexual  desire and my curiosity had made me jump into bed with him.  I am  ashamed of myself now.     
guilt,Due to laziness     
joy,When I got the loan for my studies.     
fear,I met intoxicated people with dubious intentions in a back alley  one Wednesday night.     
anger,On the T.V I saw a news feature on South Africa.  A policeman       attacked a group of black people with a whip.     
sadness,The thought of having to read a boring book of 400 pages in  English.     
disgust,Grovelling people.     
shame,My inability to assert myself positively in a group.     
guilt,I experience feelings of guilt because I do not study enough.     
disgust,Observing someone in the cafeteria noisily gulping in his food     
shame,I guess I have often been ashamed after having talked badly of  other people.     
guilt,Having been angry and unpleasant towards my parents.     
joy,When my sister - after a history of one abortion and one  stillbirth - gave birth to a perfectly healty boy.     
fear,When my sister had the still born child     
anger,We were starting a student project     
sadness,When my boyfriend openly let me down     
disgust,I felt some disgust for my boyfriend for a time     
shame,Can't think of any.     
guilt,Before an accident     
joy,Unexpected visit by a close friend     
fear,I wandered by mistake into the safety zone of a shooting range     
anger,Being treated unfairly.     
sadness,Breaking up with a girl.     
disgust,Nothing.     
shame,None.     
guilt,Little contact with my father before he died.     
joy,When I was accepted as a student at the college     
fear,When I was the first to arrive at the scene after an accident     
anger,I was accused of having done something     
sadness,When my grandmother died.     
disgust,Not applicable.     
joy,A couple of years ago during the summer holiday     
fear,I was alone at home     
anger,I went to a lecture and once again it had been cancelled     
sadness,I heard that a former superior of mine had died     
disgust,In the tram there was a fat     
shame,When we were at home     
guilt,I made a remark to my sister concerning her attitude to men     
joy,I had a summer job in Sweden     
fear,I went to practice in Sweden during summer     
anger,In the holiday cottage of our association     
sadness,My grandmother died suddenly last summer.     
disgust,My superior at the summer job swindled customers as much as he  could     
shame,Once I arrived two hours late to my work place (a bank) and I was  still feeling feeble and tired.     
guilt,Our association had Polish visitors and when they were going back  by boat I did not go to see them off (I am the chairman of the  association).     
joy,I was told quite unexpectedly that one wanted me to become the  vice-chairman of our student organisation.  I was really  surprised and joy was the first emotion I felt     
fear,Our tutorial group was soon to be divided     
anger,We were in a disco and the evening was not at all pleasant.   Despite my not knowing why     
sadness,My grandmother died     
disgust,At the underground station     
shame,I was worried by a task related to my studies which had to be  done in groups of two.  I was talking about it to my friends when  I said something negative     
guilt,I had told my boyfriend that I did not want to go on with our  relationship.  I knew that I was important to him but I wanted to  be free.  I saw that this was difficult for him but I remained  firm and did not change my mind.     
joy,Last night I had a chat with a fellow student.  I had known her  for about half a year     
anger,[ I sometimes quarrel with my mother because she blames me     
sadness,After hearing about the death of my grandfather.  First I could  not believe it     
disgust,In the evening     
shame,My little brother was arrested by the police at the railway station after  he had drunk some beer.     
guilt,At my temporary job     
joy,I met a dear friend of mine after a long time.  I expressed my feelings  in our own usual way     
fear,I felt fear of the purest kind after a car accident.  The  incident and images of horror kept coming back to my mind.  I  wondered what could have happened to my sister     
anger,Two boys whom I know were telling me     
sadness,My sweetheart left me     
disgust,Out of sheer curiosity     
shame,After having quarelled unnecessarily and without any reason     
shame,[ Do not know.]     
guilt,Forced to fill in a questionnaire.     
joy,When I won a tennis match.     
fear,When my dog ran out on thin ice last spring.     
anger,When my tennis match was interrupted because a kid cycled right  into the court.     
sadness,[ No response.]     
joy,Celebrations on the graduation day with the orchestra playing in  the garden ( I am a part of this orchestra).     
fear,Risk of being involved in a fight after a party.     
anger,I had a very heavy work load and two colleagues     
sadness,After an exam which I failed.     
disgust,[ Normally I do not feel disgusted.]     
shame,When I overtook a car on the mainroad     
guilt,I saw a neighbour     
joy,When I met an old schhol friend (school love) who works in  Sk+vde.     
fear,When I was cycling to school     
anger,When I was deputy manager during the Summer     
sadness,When I realized that my girlfriend     
disgust,Dog dirt which thaws in the spring.     
shame,When I forgot my mother's birthday.     
guilt,[ Can not think of anything just now.]     
joy,Passed the last exam.     
fear,Was nearly knocked down by a car.     
anger,I reached the bus stop and realized that I had forgotten my bus  pass.     
sadness,My current work load is too much.  The feeling comes back from  time to time.     
disgust,[ Can not think of any situation.]     
joy,When my one year old son gives me a spontaneous kiss.     
fear,When someone close to me is travelling by car and is delayed.     
anger,When someone does something wrong which affects me negatively.     
sadness,When I think about my parents getting old.     
disgust,[ Can not remember.]     
guilt,I do not have the time for other people's problems.  My  mother-in-law is sometimes depressed and I do not have the time     
joy,"An ex-colleague asked me if I was interested in working in their  accounts bureau.  They needed \clever people\"" and he had  \""immediately thought of me.\""""    "
fear,I was driving and a deer suddenly appeared in front of the  car when there was a lot of traffic behind me.     
anger,I saw a report on T.V news on apartheid in South Africa.      
joy,When my girlfriend became pregnant.     
fear,When I nearly collided with another car.     
anger,The time when someone let the air out of the tyres of my cycle.     
sadness,When I read a lot and did not remember anything.     
guilt,The time that I had to put my dog to sleep.     
sadness,Long illness.     
joy,When I passed an exam.     
fear,When I was travelling by tram     
anger,When I missed the tram after having run for it.     
sadness,The inability to read a book at college.     
disgust,If a guy one is not interested in makes advances.     
shame,I drink wine too often.     
guilt,I do not study enough as I do not understand it properly.     
joy,I worked at a lawyer's office during Summer and I got a very  good reference from him.     
fear,I had been watching a triller a dark night in the country and I  had to go the outside toilet on my own.      
anger,When I am accused of something I have not done     
sadness,When I began to read a thick book     
disgust,Someone vomited on the street.     
shame,I can not think of any incident when I have felt very ashamed.   There are small incidents that I am ashamed of     
guilt,I had lunch with my ex-boyfriend and did not mention it to my  fiancee.  I felt guilty despite the fact that I felt nothing for  my ex-boyfriend.     
joy,When I was finally qualified for my profession.     
fear,Someone attacked me with a knife.     
anger,Someone drove into my car and then denied that it had happened.     
sadness,When I was told that my friend's wife had cancer.     
disgust,When I saw a dog which had been knocked down by a car.     
shame,When I boxed my child's ears.     
guilt,When I was fined for speeding.     
joy,I stopped working (had a boring job).     
fear,I was going home by car late one night when it was cold     
anger,Quarrel in the family.     
sadness,When I am alone in a room with no contact with anyone -  loneliness drains me.     
disgust,When I was on holiday someone vomited in front of me.     
shame,Emptied a bucket of water in a hospital.     
guilt,When I feigned sick leave from work.     
joy,When I get a hug from someone I love.     
fear,I was driving very fast on a small road and I met an oncoming car  in a right handed bend.  The other driver was on his own side of  the road and I had to skid out of it to avoid a collision.  It  was dark.     
anger,My car had been towed away by the traffic police because it had  been wrongly parked.  However the sign had been put up only after  I had already parked.     
sadness,After an operation I had to stay in bed for a long time.     
disgust,I was forced to stay in the canteen and eat the food that I had  not asked for but got it anyway.     
shame,When I did not buy what I had promised to.     
guilt,By mistake I took a book from the library which was not supposed  to be loaned out.     
joy,When I won an unexpected sum of money.     
fear,My 2 year old daughter disappeared in a moment of inattention; I  was responsible for her.     
anger,A colleague asked me for some advice and as he did not have  enough confidence in me he asked a third person.     
sadness,I wanted to be pregnant and did not succeed     
disgust,In a warm bus full of people     
shame,I complained about a colleague's behaviour as she goes back on  her word     
guilt,I spoke to my mother on the phone.  She had skin cancer and was  waiting to be operated.  I forgot to ask her the date of the  operation and just before finishing our conversation she gave me  the date in passing.      
joy,When I was at a party I met an old friend from an adult  education course.  We had not met for 2 years but had both thought  a lot about each other.  A wonderful experience.      
fear,When I was cycling through the park late one night     
anger,When close relatives tried to dissuade me from studying  Psychology because of its low status.     
sadness,I had a long discussion on politics with an acquaintance.  He  was more knowledgeable than me and I failed to explain my point  of view and was misunderstood so I felt depressed and left.     
disgust,When I read a newspaper article on a young girl who had been  raped and assaulted one night by several men when she was unconscious.     
shame,My mother revealed personal details about me and the  negative aspects of my character to other people when I was  present but unable to defend myself.     
guilt,I was unfaithful to my partner once when he was working abroad  for a long period.     
joy,When I recently got an appartment in central Gottenburg.     
fear,When I saw a large spider crawling up the wall.     
anger,My employer took too many aspirins for a bad back and also drank  an enormous amount of spirit.  This was dangerous  and he did  not understand that he had done anything wrong.     
sadness,When I left New York     
disgust,When I slept with a guy because my best friend wanted me to.   He had never had intercourse with anyone and had a terrible  complex about it.     
shame,When I dated a close girlfriend's boyfriend a few times. He told  me that it was over between them and I accepted it.  When she  found out she finished our friendship.     
guilt,When I broke off with my boyfriend after three years.  It was  quite unexpected for him and there was no particular reason for  the break up     
joy,When my son returned from mountaineering - healthy in body and  soul.     
fear,When one meets new people with whom one is forced to collaborate  with.     
anger,The sports fishermen who catch gulls instead of fish with their hooks.    It is often a mistake but it makes me angry.     
sadness,I feel sad about an event I can not influence.     
disgust,When a member of the family complains about the food that is  served     
shame,[ Cannot recall any incident when I felt shame.]     
guilt,I have chosen to put my son in a private school were the  examination marks are low.  Every time that he gives me his term  results I am left with a sense of guilt.     
joy,When I was informed that I had been accepted as a student of  Psychology.     
fear,When I was in a little fishing boat and we ran into hard weather  in the open sea.     
anger,When I found out that the guy I was dating at a particular time  had a steady relationship going on with someone else for a long  time.     
sadness,I felt sad and depressed when I heard that our cat had died.     
disgust,When I was working as a nurse in a mental hospital     
shame,At primary school     
guilt,I arrived an hour late for an important meeting ( I had  misunderstood the time).     
joy,When I was acceptted as a student of psychology.     
fear,When my son has a pain in his leg (for no apparent reason).       
sadness,When I thought that it was going to be impossible for me to start  studying (due to wrong information from the student advisor).     
disgust,At a certain person's lack of cleanliness     
shame,When I made the same mistake that I had accused someone else of     
guilt,When I lost something that was valuable to my sister.     
joy,When my son was born.     
fear,When I nearly drowned in icy water wearing ice skates.  It was  difficult to get out.     
anger,When I was pointed out as a problem child in primary school and  my mother took the teacher's point of view.     
sadness,When I was accused of neglecting work for the wrong reasons.     
disgust,My parents attitude towards each other when they should become  reconciled     
shame,When I was caught stealing money from my father.     
guilt,I stole a coconut cake from a reception table and when I put  in my mouth I realized that the host was watching me.     
joy,"When after 10 months of national service I was \downgraded\"" and  did not have to do the remaining 5 months.""    "
fear,When I was reprimanded by the manager of the hotel where I  worked during Autumn 1984.     
anger,When my parents drove me to a nearby place and went home  immediately instead of waiting a few hours.  They could have  easily waited.     
sadness,When my ex-girlfriend and I discovered that there was a certain risk  of her being pregnant.     
disgust,When I was about to clean the draining board and saw it looked  underneath the sink (I live in a students hostel).     
shame,When my mother caught me masturbating.     
guilt,As the only person in my family into academics     
joy,When my older sister told us that she was thinking of joining the  rest of the family for the winter sports holiday.     
fear,Slept in a chapel and in the middle of the night I realized that  there was someeone else in the chapel.  I never discovered who  it was and why he was there.     
anger,When we were in high school a few guys sometimes provoked a  friend of mine.  They called her a pig and then grunted.  This  irritated most of the girls.  Once     
sadness,I talked to my boyfriend on the phone when I was in high spirits  and had a lot to tell him.  I had been looking forward to this  conversation and he did not listen to me to the extent that I  had anticipated.     
disgust,A mother who shouts at her child for nothing.     
shame,When I complained to my mother about how untidy the kitchen  loooked     
guilt,As I could not be home before midnight I called home at 11.30 and  asked them to leave the door open so that I could get in.  I  actually woke up the whole family by calling them so late.  My  mother could not go back to sleep     
joy,When I got through the first day here at the department.     
fear,When I was cycling past a parked car someone opened the door and  nearly pushed me off my bike and into the traffic.     
anger,When my boyfriend sat up half the night playing computer games  with a friend.     
sadness,When I had to leave my mother and my sister after a week's visit.     
disgust,When I saw a big spider from very close.     
shame,When I asked a friend to return the money that I had loaned her  and then remembered that she had repayed me in several ways.     
guilt,When one of my parents insinuates something about the other  (they are divorced).     
joy,When i was asked to be a child's godmother.     
fear,On the way down a ski slope which was difficult and steep.     
anger,When my mother interfered in my life.     
sadness,When I was left alone one week-end without being prepared for  it.     
disgust,The first time that I saw a surgeon cut off a leg and put it in a  black rubbish bag.     
shame,When I forgot about a meeting at work.     
guilt,When I demand too much from my friends.     
joy,When my husband suddenly came to see me at my new job and  brought some flowers and cake with him.     
fear,When I was nearly attackad by a man who had been chasing me.     
anger,When my father asked me if I was a communist     
sadness,When I applied for a job which I thought I had a good chance of  getting     
disgust,T.V features showing the violation of defenceless people.     
shame,When I as a child of 9 or 10 I was playing doctor with the  neighbours boys their mother caught us.     
guilt,When my husband talked about the restrictions he will have to  accept in his life to make our marriage work.  I felt that it was  directed at me as it was me who had demanded the changes.  We  were with a marriage counsellor then.     
joy,When we were able to afford a new sofa - a leather one which cost  SEK 20000.  I had waited for it for 2-3 years.     
fear,Vertigo - standing on a ladder and painting the house.     
anger,When my boss enrolled in a course to satisfy his own ends - to  trample on his associates.  I have the misfortune to have one of  my superiors in my course.     
sadness,When I argue with my mother about the way she treats her two  children differently.     
disgust,Spit and vomit.     
shame,Spots on the seat covers of my husband's car.     
guilt,Not speaking to my sister-in-law due to lack of interest in a  relationship on my side.     
joy,"When I recently managed to get my first consulting assignment  \myself\"" i.e on my own initiative.""     "
fear,I was within a hair's breadth of knocking down a drunkard who  suddenly ran into the street.  The fear came later when I      realized what could have happened.     
anger,When my friend     
sadness,The elections of 1982 and 1985.  The thought of what a social  democrat and communist majority could achieve     
disgust,A study visit to a chicken factory : the butchery     
shame,Confession to my parents about my involvement in a moped theft.     
guilt,"[ No answer as I see very little difference between shame and  guilt.  Therefore see answer for \shame\"".]""     "
joy,When I was appointed to position of trust in a group set up to  change the working environment.     
fear,I was alone in a cottage I often stay in.  I was woken up by a  rustling sound in the middle of the night.     
anger,When I tried to explain to a plumber     
sadness,When the result of a project work was treated nonchalantly  intead of being criticized by the teacher.     
disgust,When programmes on violence or pornography are shown on T.V.     
shame,When I talked maliciously about a colleague at work to someone  else.  Immediately afterwards I felt ashamed.     
guilt,When I decided to take a week s holiday without consulting the  family first.     
joy,After my girl and I talked things over our relationship changed  and became positive.  A diificult time turned into pleasant one.     
fear,When we could not land our plane and we knew that the fuel was  running out.  Bad weather had already frightened us.     
anger,When I read about Reagan's tactical decision concerning the  South African boycott.     
sadness,When my half brother became seriously ill with cancer and died  later.     
disgust,A film were a woman was attacked and raped.  One did not see the  worst but it had the desired effect - very strong.     
shame,I made a comment and it was interpreted completely differently  from what I had meant.  When I said it I realized how my mother  had understood it.     
guilt,I had promised to visit my girlfriend but for different reasons  could not make it.  I rang up later to tell her that I could not  come.     
joy,When I was offered a high position of trust     
fear,I had the window open and the door was shut so that the kitten  would not go out.  My partner came in and started talking about  something and I forgot about the window and suddenly I saw the  kitten hanging from the window frame. I was rigid with fright  till I got hold of her.     
anger,Some noisy guests arrived at the hotel.  I had been slightly  irritated earlier.  At night when I was trying to sleep they were  having a party so I went and yelled at them.  I wanted to sleep  as I had to get up early the next day.     
sadness,When I was told that I had not been successful in getting the job I  had been expecting.  I was sure that I was sufficiently  qualified.     
disgust,When my cat vomited and a worm came out which was still alive.  I  was forced to wipe it up.     
shame,When I was a child it was found out that I had taken off my  clothes outdoors.  It was summer and my friend and I were out  in the woods.  It had felt exciting at that time.  My parents  discovered that my trousers were back to front and I felt  ashamed.     
guilt,When I stole money from my mother and she asked me later if I was  responsible.  I never admitted it.     
joy,[ Cycling in the spring sunshine gives me such delight.   Happiness is to be healthy     
fear,When my relationship with my family is very poor I often fear  being excluded from the group     
anger,Recently when my sister     
sadness,"When I watched the T.V programme called \The living planet\"" and  saw the far reaching environmental destruction caused by man.""    "
disgust,Disgust is a feeling that I have never experienced with peoplie  but      
shame,When relatives have acted strangely     
guilt,When      
joy,On a boat trip to Denmark     
fear,A rainy day     
anger,On the way home from Marstrand I was driving behind my father's  car.  Another car tried to push in front of my father and he was  forced to swerve and he thus collided the car with a pillar.  The  other car drove off without even seeing what had happened.     
sadness,My girlfriend who had spent 6 months abroad broke off our  relationship by letter.     
disgust,At the police centre a man between 40-50 was brought in.  He was  very drunk and in all likelihood had not slept indoors for a long  time and had relieved himself in his trousers.     
shame,A customer at the shop where I worked came in and asked if the  goods that he had ordered had arrived.  I had totally  forgotten about this order and I tried to offer weak excuses.     
guilt,I was 4-5 years old when I hid the bicycle keys of a not very  good friend.  After a few hours I pretended that I had found  it.     
joy,When I was at the end-of-term party last week and had fun - was  happy and sang and drank only soft drinks.  It is possible to  have a good time without alcohol.     
fear,Last Summer I was walking along the beach in a bikini and an  awful man came cycling after me.  He was shouting and I ran as  fast as my legs could carry me.     
anger,In a course I thought that I deserved good marks but I only got  ordinary marks with no justification as to why I was given these  marks.     
sadness,When I crashed my car and it had to be scrapped then.  It was my  fault and I feel depressed as I miss the car.     
disgust,I had some sort of a stomach virus last week and  I vomited in  college in the morning     
shame,When I was an evening school teacher it was my job to make the  coffee but I was not able to get the coffee ready on time and I  thus arrived half an hour late to the class.  On top of this the  coffee was undrinkable.     
guilt,Many years ago a friend wanted me to with her to southern Europe  and I preferred to travel alone.  I felt guilty because I wanted  to go on my own.     
joy,When I felt that my love was returned.     
fear,When I was convinced that someonne had broken into my flat and I  woke up and heard sounds that frightened me.     
anger,When it became clear that a man had used many people sexually  and psychologically     
sadness,When I feel helpless after having tried to help someone without  any result.     
disgust,When I think now about the way my father behaved when filing a  divorce.     
shame,When as an 8 year old     
guilt,When as a 7 year old     
joy,When I recently got a very positive answer from a clinic telling  me that they would willingly assist and collect data for me for a  clinical pilot study.     
fear,Every time I meet a certain dog that has once bitten me.     
anger,When after a lot of provocation my child threw a plate on the  floor.     
sadness,When I realized that I could not communicate properly with my  closest friend.     
disgust,When I tried to explain to my child as to why there were  magazines wiith naked girls on them at the kiosk.     
shame,When I stole a packet of cigarettes from a neighbour  and the  next day I owned up and returned it.     
guilt,When I was forced to decline the invitation to my mother's 70th  birthday because of my work committments in another area.     
joy,When I began dansing     
fear,A late Saturday night I found myself locked in the central  underground station of Stockholm with a group of 50 hard rockers  who were drunk and equipped with various kinds of chains     
anger,When I was forced to call the telephone company about a bill  concerning a disconnected phone belonging to my landlord.  The  bill was four months overdue and in the meanwhile he had been  using my phone     
sadness,Whenever I read or think about the way people treat animals and  nature.     
disgust,When I saw a T.V programme on animals in the film world  (mistreated and used).     
shame,When I was 13 years old I wrote passionate love letters to my  boyfriend and I later found out that his sister had read them.     
guilt,"When I \hated\"" one of mmy flatmates who was nice to me.""     "
joy,When my 6 month old son is happy and well.     
fear,A four year girl ran away from her father straight in front of my  car.  I was forced to use the emergency brakes.     
anger,[ After an examine I had been satisfied with.]     
sadness,When a colleague failed to contact me at the arranged time.     
disgust,When I read racist slogans on the walls.     
shame,About Sweden's arms exports.     
guilt,Not doing something I had promised.     
joy,When I gave birth to a healthy boy.     
fear,When my husband and I spent a night by ourselves in a house which  was in an area on the outskirts of a large town with which we were   not familiar.  We  heard strange noises outside the house and the   house had glass walls so the whole thing was even more  frightening.     
anger,Jealous of my husband's old girlfriend.  We met her with her  husband and there was a lot of reminiscing.     
sadness,When my daughter had problems with her friends and I could see  her predicament from the window.  She was given a the cold  shoulder.     
disgust,When I was an auxiliary nurse at the hospital and I had to change  the nappies     
shame,When friends found out that I had been lying about where I had  been on a particular occasion.     
guilt,When my middle child became very difficult to handle after the  birth of his baby brother and I did not have any patience with  him.     
joy,When my husband and I decided to take a few days holiday after a  particularly trying period.     
fear,Before a hospital visit prior to a D&C under anasthesia for an  expected miscarriage.     
anger,Exchange of points of view with my sister on a family matter.     
sadness,Treatment to become pregnant with a negative result.     
disgust,"When I woke up one morning and went to the kitchen I discovered  that our dog had diarrhoea.  There were small \piles\"" all over  the floor and the smell was choking.""    "
shame,When I was young     
guilt,At work a boy was injured because of my lack of supervision.     
joy,When I gave birth to a child and saw that it was normal when it  was put against my breast.     
